Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_HandSoldering,9.144,17.018,270.0,bottom
C2,100n,C_0805_HandSoldering,19.939,19.685,0.0,bottom
C3,100n,C_0805_HandSoldering,43.942,19.812,180.0,bottom
C4,100n,C_0805_HandSoldering,47.117,17.018,270.0,bottom
C5,100n,C_0805_HandSoldering,50.673,19.812,0.0,bottom
J1,Conn_01x22,Pin_Header_Straight_1x22_Pitch2.54mm,28.194,1.524,270.0,bottom
Q1,2N3904,2N3904_2N3906_SOT-23,13.97,15.748,0.0,bottom
Q2,2N3904,2N3904_2N3906_SOT-23,26.694,16.195,0.0,bottom
Q3,2N3904,2N3904_2N3906_SOT-23,40.005,15.748,0.0,bottom
Q4,2N3904,2N3904_2N3906_SOT-23,50.8,15.748,0.0,bottom
Q5,2N3904,2N3904_2N3906_SOT-23,35.56,15.113,90.0,bottom
Q6,2N3906,2N3904_2N3906_SOT-23,53.086,10.795,270.0,bottom
R1,1k,R_0805_HandSoldering,6.604,7.62,270.0,bottom
R2,2k,R_0805_HandSoldering,9.144,7.62,270.0,bottom
R3,4k,R_0805_HandSoldering,11.684,7.62,270.0,bottom
R4,8k,R_0805_HandSoldering,14.224,7.62,270.0,bottom
R5,470,R_0805_HandSoldering,6.604,13.716,270.0,bottom
R6,390,R_0805_HandSoldering,10.414,12.192,0.0,bottom
R7,75,R_0805_HandSoldering,15.494,12.192,0.0,bottom
R8,75,R_0805_HandSoldering,16.764,7.62,90.0,bottom
R9,1k,R_0805_HandSoldering,19.304,7.62,270.0,bottom
R10,2k,R_0805_HandSoldering,21.844,7.62,270.0,bottom
R11,4k,R_0805_HandSoldering,24.384,7.62,270.0,bottom
R12,8k,R_0805_HandSoldering,26.924,7.62,270.0,bottom
R13,470,R_0805_HandSoldering,19.304,13.716,270.0,bottom
R14,390,R_0805_HandSoldering,23.114,12.192,0.0,bottom
R15,75,R_0805_HandSoldering,27.813,12.192,0.0,bottom
R16,75,R_0805_HandSoldering,29.464,7.62,90.0,bottom
R17,1k,R_0805_HandSoldering,32.004,7.62,270.0,bottom
R18,2k,R_0805_HandSoldering,34.544,7.62,270.0,bottom
R19,4k,R_0805_HandSoldering,37.084,7.62,270.0,bottom
R20,8k,R_0805_HandSoldering,39.116,7.62,270.0,bottom
R21,470,R_0805_HandSoldering,32.639,13.716,270.0,bottom
R22,390,R_0805_HandSoldering,36.068,11.049,0.0,bottom
R23,75,R_0805_HandSoldering,40.894,12.192,0.0,bottom
R24,75,R_0805_HandSoldering,41.148,7.62,90.0,bottom
R25,1k,R_0805_HandSoldering,44.704,13.716,270.0,bottom
R26,220,R_0805_HandSoldering,45.212,7.62,270.0,bottom
R27,27k,R_0805_HandSoldering,48.514,12.7,180.0,bottom
R28,150,R_0805_HandSoldering,47.244,7.62,270.0,bottom
R29,75,R_0805_HandSoldering,49.784,7.62,90.0,bottom
R30,90.9k,R_0805_HandSoldering,37.465,18.923,0.0,bottom
R31,37.4k,R_0805_HandSoldering,43.18,7.62,270.0,bottom
R32,13.3k,R_0805_HandSoldering,17.653,15.621,90.0,bottom
R33,6.04k,R_0805_HandSoldering,22.987,15.494,90.0,bottom
R34,37.4k,R_0805_HandSoldering,30.607,15.494,270.0,bottom
R35,19.6k,R_0805_HandSoldering,27.686,19.177,180.0,bottom
R36,220,R_0805_HandSoldering,32.639,19.177,180.0,bottom
R37,36,R_0805_HandSoldering,53.086,6.858,0.0,bottom
R38,36,R_0805_HandSoldering,48.514,10.922,180.0,bottom
R39,75,R_0805_HandSoldering,49.784,4.318,180.0,bottom
